chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,target
0.5214017,1474.3752197303568,1817.686149881057,3517.0454545454545,0.004977151,0.09179243607954546,ok
0.39798972,1630.0985359544122,1584.015604242556,3118.065828402367,0.049822815,0.1273518398668639,ok
0.38530508,2118.1377962370602,1600.5842542219589,4067.0620437956204,0.07660013,0.19593621692518248,ok
0.5559829,1716.0264646514515,1949.2849231549565,3902.590981012658,0.009206421,0.07593700553797468,ok
0.47785747,1657.7309369594782,1475.6799828658297,2913.1384408602153,0.0076486277,0.15767809139784947,ok
0.50756973,1528.274849054576,1461.2091146154974,2719.78021978022,0.008941462,0.13470123626373626,ok
0.6008681,1811.0968813085963,1746.3194050966379,3691.8512658227846,0.01031823,0.13728738132911392,ok
0.5866895,1649.7808015020678,1820.618065793142,3686.533505154639,0.006030827,0.1062389255798969,ok
0.38555464,2302.343259121372,1839.1653490149374,4508.705357142857,0.0448942,0.19882114955357144,ok
0.44684166,1384.4759918988914,1623.6474506414356,3056.1298076923076,0.030835371,0.08248197115384616,ok
0.40771845,1547.802742620817,1388.8771906434133,2551.1568509615386,0.0054444694,0.14719332181490385,ok
0.319516,1431.3818978314648,1502.5296156115808,2578.7760416666665,0.09114045,0.10495140438988096,ok
0.4297952,2267.2286024050486,1795.6950970462024,4337.673611111111,0.027924983,0.19287109375,ok
0.4796359,2770.4686112106856,2016.3347044253226,5338.288834951456,0.014758334,0.2876782463592233,ok
0.4664492,1372.5519644397332,1742.4532073438172,2963.778409090909,0.009109758,0.07801402698863637,ok
0.56338185,1855.8073114445522,1871.9140089565672,3991.8212890625,0.020832486,0.1586761474609375,ok
0.49375317,1629.2819512026554,1616.9058553769862,3274.5977722772277,0.0045474577,0.1365302057549505,ok
0.47449812,1155.8833651105545,1498.1764217079287,2615.0072674418607,0.030100374,0.05349518531976744,ok
0.4712528,1766.4802284287719,1738.121612608766,3713.28125,0.009762753,0.11789899553571428,ok
0.3400336,1533.487552237522,1552.1156865726723,2739.800347222222,0.07166564,0.11820023148148148,ok
0.6386501,1962.2378827493098,1948.889669447495,4317.916666666667,0.0034421158,0.14551432291666666,ok
0.49468333,1317.9510521790644,1541.1431474282028,2336.3675458715597,0.0030897285,0.09875824254587157,ok
0.48780373,1183.0596285870681,1319.859662265089,2196.8947784810125,0.022554243,0.0783475079113924,ok
0.3719787,1486.8123437531433,1475.0704300812624,2620.696107784431,0.041407734,0.09764747848053892,ok
0.4921592,1919.6232907655724,1506.4603650795455,3506.023377862595,0.055983026,0.18250909470419846,ok
0.3937236,1590.0074656472038,1683.629362599444,3277.1484375,0.019714717,0.115972900390625,ok
0.56323725,1696.837106443037,1825.2927529824806,3545.673076923077,0.020270634,0.10678961338141026,ok
0.4871484,2340.270806208945,2028.5833664098539,4828.691123188406,0.03028841,0.21405117753623187,ok
0.3381131,1454.526710281538,1574.9968189758822,2734.6475290697676,0.06758993,0.10305005450581395,ok
0.5910627,1595.1586022646802,1590.8941113748674,3324.277052238806,0.017631182,0.135713036380597,ok
0.5314115,1674.3987586118913,1696.7644547561601,3318.0017605633802,0.008553645,0.1416221941021127,ok
0.4851867,1749.4020433502951,1902.559638254771,3786.2548828125,0.026000023,0.123779296875,ok
0.5825166,1685.3404899733448,1874.539651714502,3559.375,0.01251329,0.114375,ok
0.50579554,1382.3757245928552,1325.7609952432902,2260.4870495495497,0.009001333,0.13054265202702703,ok
0.5079997,2199.257020125956,1689.4971407884245,4102.230235042735,0.027330484,0.21925914797008547,ok
0.43235245,1498.6946092518788,1831.8500214843682,3236.81640625,0.027077485,0.09466552734375,ok
0.44075447,3023.627070203362,1940.7395069733666,5129.136029411765,0.0020765895,0.35979147518382354,ok
0.5489011,1894.0169125088782,1975.173571476445,4039.0625,0.006950951,0.13779449462890625,ok
0.39333293,1439.8747606047202,1520.7498252508046,2694.296875,0.009608931,0.090009765625,ok
0.5576235,1883.5476324277804,1674.6948431466049,3404.8219086021504,0.00878491,0.16627289146505375,ok
0.59314793,1231.5541027484146,1379.4389038624074,2326.7609126984125,0.006567171,0.08444165426587301,ok
0.39573887,1828.7861283817197,1453.8577839026373,3394.0662202380954,0.10474515,0.17601376488095238,ok
0.43589187,2473.5807044432836,2053.798445559488,4982.083333333333,0.01307683,0.25658203125,ok
0.62530917,3066.8537583597877,2399.829211059183,6178.871268656716,0.0059606764,0.26322732042910446,ok
0.4771724,2763.7047992332573,2275.241218431432,5730.643656716418,0.007049972,0.2284208838619403,ok
0.5279462,1744.9334861645805,1674.2530473706395,3412.8502155172414,0.0052965004,0.14232556573275862,ok
0.39632252,1713.8986350384157,1838.5699372707434,3563.08302238806,0.042382635,0.13044397154850745,ok
0.43044454,1920.383935359282,1809.9936707617273,3926.1402027027025,0.03327073,0.1447239231418919,ok
0.5918358,1806.1689031902667,1766.4563399827716,3331.5360915492956,0.0028819144,0.15067259022887325,ok
0.3705657,2138.932152988268,1458.6213331822207,3897.930194805195,0.12132293,0.18304839691558442,ok
0.32573068,2029.5958962983927,1626.4775292762502,3659.095014450867,0.06768984,0.1666534953034682,ok
0.52427447,1816.4819079176048,1644.1572651009226,3358.3984375,0.014251741,0.1614718967013889,ok
0.5615034,1335.657551184001,1510.4278324405936,2556.621287128713,0.013276696,0.10387821008663366,ok
0.34033582,2502.8820747535065,1839.787271045257,4646.145833333333,0.11626166,0.216484375,ok
0.5912289,1667.1238997306073,1891.319471674389,3980.3819444444443,0.0014778987,0.10145399305555555,ok
0.55507374,1369.075654240053,1358.8215582874152,2627.6041666666665,0.0127662355,0.10827266808712122,ok
0.40491647,2031.8399548071416,1764.5811276855143,4199.434432515337,0.12856838,0.1763623945552147,ok
0.39066038,1562.950291476209,2000.855152903337,4005.6662087912086,0.011297051,0.056635259271978024,ok
0.55010825,1901.4929236725357,1854.6535823092136,3839.409722222222,0.017280525,0.1594306098090278,ok
